,Channel_name,Subscriber,Views,Total_Videos,playlist_id
0,Total Gaming,45000000,4916695950,552,UU5c9VlYTSvBSCaoMu_GI6gQ
1,Mythpat,16600000,4056799062,421,UUx6F-rETGiz7xf_vkMmX2yQ
2,India Today,10700000,5093657306,256766,UUYPvAwZP8pZhSMW8qs7cVCw
3,Sourav Joshi Vlogs,35600000,18414612751,2136,UUjvgGbPPn-FgYeguc5nxG4A
4,Gyan Gamingㅤ,18000000,2793684477,3841,UUhXi_PlJkRMPYFQBOJ3MpxA
5,NDTV India,20500000,10966475285,175275,UU9CYT9gSNLevX5ey2_6CK0Q
6,GAURAV ZONE,4970000,1420789819,2239,UUGXaE9EsaPbG8YkSm7lBFBA
7,ashish chanchlani vines,30800000,5085910312,162,UU7eHZXheF8nVOfwB2PEslMw
8,Gaurav Chaudhary,5000000,364881764,218,UUXsXitjiT_8qPgNEFGPVfBA
9,ABPLIVE,30600000,11485871387,284785,UUmphdqZNmqL72WJ2uyiNw5w
10,CNN-News18,10000000,5514380543,233101,UUef1-8eOpJgud7szVPlZQAQ
11,Techno Gamerz,47300000,14370094403,1132,UUX8pnu3DYUnx8qy8V_c6oHg
12,Dynamo Gaming,10100000,1357715723,2777,UUqNH56x9g4QYVpzmWTzqVYg
13,AS Gaming,20800000,3292352862,1712,UUMrvxKTx9hLhZcOvJkYOnAw
14,Desi Gamers,17200000,2816012277,1488,UUuApqv2tNQ73S7gcfrfCSDw
15,DD News,6360000,896575361,113530,UUKwucPzHZ7zCUIf7If-Wo1g
16,Flying Beast,9330000,5141476188,2141,UUNSdjX4ry9fICqeObdZPAZQ
17,Mumbiker Nikhil,4010000,1728167690,2882,UUNn6AaHharXIbkRleXGboiQ
18,TWO SIDE GAMER,12900000,2571925666,2598,UUiDikVE7Y4_KpQwsxarj38g
19,TIMES NOW,6880000,3722629390,172755,UU6RJ7-PaXg6TIH2BzZfTV7w
20,LOKESH GAMER,16600000,1974035067,1888,UUdQPeeJ0qGK6wWBiEJWcdsQ
21,Mallika Vlogs,193000,95027,8,UU-gTvS58qVpSrTEii8mA1Ng
22,IndiaTV,48700000,29336590563,396519,UUttspZesZIDEwwpVIgoZtWQ
23,CarryMinati,45200000,4257289498,205,UUj22tfcQrWG7EMEKS0qLeEg
24,MostlySane,7290000,1947615156,1459,UUvCyIiKSCA1fHKSCOKJyjXA
25,CarryisLive,12200000,1742424677,1090,UU0IWRLai-BAwci_e9MylNGw
26,Sun News,10900000,8486003481,187815,UUYlh4lH762HvHt6mmiecyWQ
27,Aaj Tak,73300000,40872399309,498271,UUt4t-jeY85JegMlZ-E5UWtA
28,Zee News,41500000,29002406579,238539,UUIvaYmXn910QMdemBG3v1pQ
29,BB Ki Vines,26600000,5226918478,194,UUqwUrj10mAEsqezcItqvwEw
